Model,Pred. Acc. (%),Abs. Acc. (%),Class. Acc. (%),Balanced Acc. (%),Precision (%),Recall (%),F1 (%),Inference (s),Inference (ms),RMSE,MAE,Threshold,Rel. Speed (%),Quality Score (%),Emergency Routing Score (%),Overall Score (%)
GAT,71.12245696395898,76.4673501253128,75.70789865871834,76.21164962205424,68.4931506849315,92.3076923076923,78.63695937090432,0.003993446200001927,3.9934462000019266,0.28877543036041015,0.23532649874687195,0.28000000000000014,87.81826433512654,79.02624629359434,81.31938720899753,80.06564227745905
GraphSAGE,69.10058940582329,74.91928040981293,73.32339791356185,73.76878612716763,67.13615023474179,88.0,76.16511318242344,0.003506975139998758,3.506975139998758,0.3089941059417671,0.2508071959018707,0.3600000000000002,100.0,76.45408106271151,78.46894679087356,78.95738609723195
GCN,67.64947515298772,73.55944216251373,71.98211624441133,72.39350822587816,66.34844868735084,85.53846153846155,74.73118279569893,0.005668553260002227,5.668553260002227,0.32350524847012285,0.26440557837486267,0.4900000000000003,61.86719925071993,74.93363572222553,76.788494990622,73.76412109621867
