Model,Actual Model Key,Result Label,Precision (%),Recall (%),F1 (%),Specificity (%),Class. Acc. (%),Balanced Acc. (%),Threshold,Predicted Positives,Actual Positives,TP,FP,TN,FN,Quality Score (%),Emergency Routing Score (%),Conservative Score (%),Overall Score (%),Inference (ms)
GAT (manual threshold),GAT,GAT_MANUAL_RECALL_THRESHOLD,71.6,76.17021276595744,73.81443298969073,80.65395095367847,78.90365448504983,78.41208185981796,0.45,250,235,179,71,296,56,75.5306605464923,75.4242626259196,75.10557982443925,75.38715109377858,2.4202652600001784
GraphSAGE,GraphSAGE,GraphSAGE,69.64980544747081,76.17021276595744,72.76422764227642,78.7465940054496,77.74086378737542,77.4584033857035,0.5700000000000004,257,235,179,78,289,56,74.88630982864107,74.92779002285053,73.9691821161426,74.67154596848977,1.4017067000008865
GCN,GCN,GCN,67.67241379310344,66.80851063829788,67.23768736616702,79.56403269754769,74.58471760797342,73.18627166792278,0.4500000000000003,232,235,157,75,292,78,69.8333176204072,69.17408268105126,69.38545580572872,69.490619937963,1.5932280400011223
